# HeatAmp, HeatExp, z_reion, z, <F>, T0, gamma, kF_Mpc
2.055000000000000160e+00 6.899999999999999467e-01 8.544999999999999929e+00 4.000000000000000000e+00 3.347804978863522796e-01 2.075125577490570504e+04 1.853437203070575912e+00 1.417135278861629466e+01
2.055000000000000160e+00 6.899999999999999467e-01 8.544999999999999929e+00 2.000000000000000000e+00 8.733800835570073584e-01 1.739584471435239902e+04 1.930660785755348607e+00 9.589791930067862680e+00
2.055000000000000160e+00 6.899999999999999467e-01 8.544999999999999929e+00 3.000000000000000000e+00 6.714508973375624690e-01 2.139996168229462273e+04 1.909281099121679759e+00 1.096367311731571981e+01
2.541000000000000369e+00 -5.700000000000000622e-01 1.001500000000000057e+01 4.000000000000000000e+00 4.346623928883605048e-01 1.885819333567781359e+04 1.122547793564962815e+00 2.056872530429074786e+01
2.541000000000000369e+00 -5.700000000000000622e-01 1.001500000000000057e+01 2.000000000000000000e+00 8.685109584013197548e-01 1.519854988646928359e+04 1.244008628218251200e+00 1.539317837603258177e+01
2.541000000000000369e+00 -5.700000000000000622e-01 1.001500000000000057e+01 3.000000000000000000e+00 7.060699921773299081e-01 1.905786573149563992e+04 1.187711534108473410e+00 1.850957451688587341e+01
1.677000000000000268e+00 -6.299999999999998934e-01 1.148499999999999943e+01 4.000000000000000000e+00 4.144409387362050223e-01 1.406566988226897411e+04 1.073000713442409104e+00 2.231872065470778921e+01
1.677000000000000268e+00 -6.299999999999998934e-01 1.148499999999999943e+01 2.000000000000000000e+00 8.575942958376291392e-01 1.162472462336569333e+04 1.212562173710226565e+00 1.723812679274563209e+01
1.677000000000000268e+00 -6.299999999999998934e-01 1.148499999999999943e+01 3.000000000000000000e+00 6.911539404352575744e-01 1.453852022540131838e+04 1.163696775468956224e+00 2.119521659809504044e+01
7.589999999999998970e-01 -1.109999999999999876e+00 1.232499999999999929e+01 4.000000000000000000e+00 3.596026191008489525e-01 7.391525456720300099e+03 8.025574350323234629e-01 2.701607187113694408e+01
7.589999999999998970e-01 -1.109999999999999876e+00 1.232499999999999929e+01 2.000000000000000000e+00 8.298763068771549678e-01 6.604112204527543327e+03 1.002265793900979363e+00 2.329097793041200859e+01
7.589999999999998970e-01 -1.109999999999999876e+00 1.232499999999999929e+01 3.000000000000000000e+00 6.519385245803810403e-01 8.023914721092366563e+03 9.239187072827560465e-01 2.745033124966295546e+01
2.379000000000000004e+00 1.109999999999999876e+00 1.526500000000000057e+01 4.000000000000000000e+00 3.370712654005392772e-01 2.387573467952121791e+04 2.122913317021437596e+00 1.211757185173122231e+01
2.379000000000000004e+00 1.109999999999999876e+00 1.526500000000000057e+01 2.000000000000000000e+00 8.892043957646446062e-01 2.072512514318069952e+04 2.165399348736696261e+00 8.653735188155216917e+00
2.379000000000000004e+00 1.109999999999999876e+00 1.526500000000000057e+01 3.000000000000000000e+00 6.913773225654622490e-01 2.493466785917989182e+04 2.153078086889936849e+00 1.036919912930623511e+01
3.270000000000000129e-01 -8.100000000000000533e-01 1.589499999999999957e+01 4.000000000000000000e+00 3.641724219525771522e-01 4.262362967354231841e+03 9.587867359057242744e-01 3.141278484536637805e+01
3.270000000000000129e-01 -8.100000000000000533e-01 1.589499999999999957e+01 2.000000000000000000e+00 8.288435500603156258e-01 3.975971662689340064e+03 1.108483053853680511e+00 2.238466054686552198e+01
3.270000000000000129e-01 -8.100000000000000533e-01 1.589499999999999957e+01 3.000000000000000000e+00 6.511861743638563960e-01 4.751220226602727053e+03 1.052350550888615954e+00 2.719786270410143558e+01
2.270999999999999908e+00 -9.899999999999999911e-01 8.335000000000000853e+00 4.000000000000000000e+00 4.613422674470682439e-01 1.603940642752883468e+04 8.673660050118002784e-01 2.645260799218580772e+01
2.270999999999999908e+00 -9.899999999999999911e-01 8.335000000000000853e+00 2.000000000000000000e+00 8.641196654365023155e-01 1.282664357130426288e+04 1.024348762345570041e+00 1.844171978043849691e+01
2.270999999999999908e+00 -9.899999999999999911e-01 8.335000000000000853e+00 3.000000000000000000e+00 7.108790104416826683e-01 1.614697909974003960e+04 9.637083631142023821e-01 2.334954749786988515e+01
1.137000000000000011e+00 8.700000000000001066e-01 1.274500000000000099e+01 4.000000000000000000e+00 3.448364644972977122e-01 1.420522137349881268e+04 2.008237278392897007e+00 1.569023294547490543e+01
1.137000000000000011e+00 8.700000000000001066e-01 1.274500000000000099e+01 2.000000000000000000e+00 8.738599667925788239e-01 1.269575953312997444e+04 2.052073118990737299e+00 1.043038386141491181e+01
1.137000000000000011e+00 8.700000000000001066e-01 1.274500000000000099e+01 3.000000000000000000e+00 6.708830873958279151e-01 1.520415622259036536e+04 2.039752848148740583e+00 1.246082444562687641e+01
1.244999999999999885e+00 1.500000000000001332e-01 1.169500000000000028e+01 4.000000000000000000e+00 3.397426264691659203e-01 1.314187626166980044e+04 1.536494552858238105e+00 1.847621040098738376e+01
1.244999999999999885e+00 1.500000000000001332e-01 1.169500000000000028e+01 2.000000000000000000e+00 8.507511179114476407e-01 1.128042251875180045e+04 1.639053494069194983e+00 1.312911963852330643e+01
1.244999999999999885e+00 1.500000000000001332e-01 1.169500000000000028e+01 3.000000000000000000e+00 6.532724987028110109e-01 1.383441593335785910e+04 1.603767162119987155e+00 1.585383699160792048e+01
1.407000000000000250e+00 9.000000000000007994e-02 1.421499999999999986e+01 4.000000000000000000e+00 3.797048096330716271e-01 1.417024429009996493e+04 1.501315876874334654e+00 1.889233140472491712e+01
1.407000000000000250e+00 9.000000000000007994e-02 1.421499999999999986e+01 2.000000000000000000e+00 8.625209915179555820e-01 1.205113935455539286e+04 1.606148205342372126e+00 1.323215441437337780e+01
1.407000000000000250e+00 9.000000000000007994e-02 1.421499999999999986e+01 3.000000000000000000e+00 6.784829769071449856e-01 1.482627139589405851e+04 1.570705806631975898e+00 1.618583144745212365e+01
1.353000000000000203e+00 3.900000000000001243e-01 1.316499999999999915e+01 4.000000000000000000e+00 3.643023548196510641e-01 1.457545427400551671e+04 1.693986439306773617e+00 1.751827619849468221e+01
1.353000000000000203e+00 3.900000000000001243e-01 1.316499999999999915e+01 2.000000000000000000e+00 8.666189292594663751e-01 1.251600573277535659e+04 1.772898134447712382e+00 1.190134605080878316e+01
1.353000000000000203e+00 3.900000000000001243e-01 1.316499999999999915e+01 3.000000000000000000e+00 6.752019416347190273e-01 1.532708377933934935e+04 1.748102576203606429e+00 1.436290643593648397e+01
1.839000000000000412e+00 8.100000000000000533e-01 8.125000000000000000e+00 4.000000000000000000e+00 3.430624147350866404e-01 1.983662378645582066e+04 1.924457115483569680e+00 1.433698004925806835e+01
1.839000000000000412e+00 8.100000000000000533e-01 8.125000000000000000e+00 2.000000000000000000e+00 8.768601311953858612e-01 1.686868813665026391e+04 2.002086035512883111e+00 9.571077148755865238e+00
1.839000000000000412e+00 8.100000000000000533e-01 8.125000000000000000e+00 3.000000000000000000e+00 6.754673659846811562e-01 2.056931040561501868e+04 1.981197934928570659e+00 1.094015429149488483e+01
9.210000000000000409e-01 3.300000000000000711e-01 8.754999999999999005e+00 4.000000000000000000e+00 3.420859827496666172e-01 1.112005125979483819e+04 1.635189802422214012e+00 2.023697484743929209e+01
