# This version is build by the following options:
# Fisher optimization: OFF
# Redshift binning shape: Triangular
# Redshift growth scaling: OFF
# Using following configuration parameters:
# Fiducial Signal Baseline: ON
# Velocity Spacing: LOGARITHMIC
# Input is delta flux: YES
# Divide by mean flux of the chunk: OFF
# ContinuumMargAmp: 1.00e+02
# ContinuumMargDerv: 1.00e+02
# Fiducial Power Spectrum
# Pfid(k, z) = (A*pi/k0) * q^(2+n+alpha*ln(q)+beta*ln(x)) * x^B / (1 + lambda * k^2)
# k0=0.009 s km^-1, z0=3.0 and q=k/k0, x=(1+z)/(1+z0)
# Parameters set by config file:
# A      =    8.385172e-02
# n      =   -2.655483e+00
# alpha  =   -1.552019e-01
# B      =    3.644610e+00
# beta   =    3.156565e-01
# lambda =    4.270131e+02
# -----------------------------------------------------------------
# File Template
# Nz Nk
# n[0] n[1] ... n[Nz] n[Nz+1]
# z | k1 | k2 | kc | Pfid | ThetaP | Pest | ErrorP | d | b | t
# Nz     : Number of redshift bins
# Nk     : Number of k bins
# n[i]   : Spectral chunk count in redshift bin i. Left-most and right-most are out of range
# z      : Redshift bin center
# k1     : Lower edge of the k bin [s km^-1]
# k2     : Upper edge of the k bin [s km^-1]
# kc     : Center of the k bin [s km^-1]
# Pfid   : Fiducial power at kc [km s^-1]
# ThetaP : Deviation from Pfid found by quadratic estimator = d - b - t [km s^-1]
# Pest   : Pfid + ThetaP [km s^-1]
# ErrorP : Error estimated from diagonal terms of the inverse Fisher matrix [km s^-1]
# d      : Power estimate before noise (b) and fiducial power (t) subtracted [km s^-1]
# b      : Noise estimate [km s^-1]
# t      : Fiducial power estimate [km s^-1]
# -----------------------------------------------------------------
# 15 21
# 0 168 175 172 144 152 134 126 90 103 100 81 53 32 9 5 0 
    z             k1             k2             kc           Pfid         ThetaP           Pest         ErrorP              d              b              t
2.200   1.107854e-02   1.394706e-02   1.251280e-02   7.076668e+00   1.494001e-02   7.091608e+00   3.348977e-01   7.075670e+00   4.351933e-02   7.017210e+00
2.200   1.394706e-02   1.755831e-02   1.575268e-02   5.685928e+00  -1.822117e-01   5.503717e+00   2.377559e-01   5.490534e+00   4.255359e-02   5.630192e+00
2.200   1.755831e-02   2.210460e-02   1.983145e-02   4.373072e+00  -1.975682e-02   4.353315e+00   1.619177e-01   4.342558e+00   4.142079e-02   4.320894e+00
2.200   2.210460e-02   2.782804e-02   2.496632e-02   3.199175e+00  -1.536175e-02   3.183814e+00   1.051066e-01   3.175992e+00   4.008701e-02   3.151267e+00
2.200   2.782804e-02   3.503343e-02   3.143074e-02   2.211867e+00  -5.219674e-02   2.159671e+00   6.464525e-02   2.155894e+00   3.846920e-02   2.169622e+00
2.200   3.503343e-02   4.410448e-02   3.956895e-02   1.437057e+00   3.745467e-02   1.474512e+00   3.750326e-02   1.475926e+00   3.642637e-02   1.402045e+00
2.200   4.410448e-02   5.552425e-02   4.981436e-02   8.736694e-01   3.632519e-03   8.773019e-01   2.048776e-02   8.843059e-01   3.373623e-02   8.469371e-01
2.200   5.552425e-02   6.990088e-02   6.271257e-02   4.958223e-01   2.815153e-03   4.986375e-01   1.056153e-02   5.102087e-01   3.012533e-02   4.772682e-01
2.200   6.990088e-02   8.800000e-02   7.895044e-02   2.624624e-01  -1.679058e-03   2.607833e-01   5.169086e-03   2.745085e-01   2.535956e-02   2.508280e-01
2.200   8.800000e-02   1.107854e-01   9.939272e-02   1.296353e-01  -7.715397e-04   1.288638e-01   2.423116e-03   1.417891e-01   1.952309e-02   1.230376e-01
2.200   1.107854e-01   1.394706e-01   1.251280e-01   5.982881e-02  -3.399389e-04   5.948887e-02   1.097603e-03   6.942658e-02   1.333663e-02   5.642988e-02
2.200   1.394706e-01   1.755831e-01   1.575268e-01   2.588337e-02  -3.753789e-04   2.550799e-02   4.839965e-04   3.189855e-02   7.994729e-03   2.427920e-02
2.200   1.755831e-01   2.210460e-01   1.983145e-01   1.055958e-02   4.154380e-04   1.097502e-02   2.105280e-04   1.468034e-02   4.382385e-03   9.882516e-03
2.200   2.210460e-01   2.782804e-01   2.496632e-01   4.099041e-03   9.975299e-05   4.198794e-03   9.374915e-05   6.389383e-03   2.430889e-03   3.858741e-03
2.200   2.782804e-01   3.503343e-01   3.143074e-01   1.528543e-03   2.631684e-05   1.554860e-03   4.578722e-05   3.001219e-03   1.506405e-03   1.468496e-03
2.200   3.503343e-01   4.410448e-01   3.956895e-01   5.510679e-04   1.461132e-05   5.656792e-04   2.726713e-05   1.712072e-03   1.140915e-03   5.565455e-04
2.400   0.000000e+00   2.200000e-03   1.100000e-03   1.488945e+01   2.398755e-01   1.512932e+01   9.840212e-01   1.440049e+01   3.304162e-02   1.412757e+01
2.400   2.200000e-03   4.400000e-03   3.300000e-03   1.724949e+01  -8.092010e-01   1.644029e+01   1.021646e+00   1.646132e+01   3.263253e-02   1.723788e+01
2.400   4.400000e-03   6.600000e-03   5.500000e-03   1.512493e+01  -2.102959e+00   1.302197e+01   9.023936e-01   1.295267e+01   3.130070e-02   1.502432e+01
2.400   6.600000e-03   8.800000e-03   7.700000e-03   1.285932e+01  -1.896806e-02   1.284035e+01   7.696823e-01   1.278733e+01   2.985063e-02   1.277645e+01
2.400   8.800000e-03   1.107854e-02   9.939272e-03   1.087694e+01  -9.069859e-01   9.969957e+00   6.395043e-01   9.941797e+00   2.868768e-02   1.082009e+01
2.400   1.107854e-02   1.394706e-02   1.251280e-02   9.015550e+00  -6.822461e-01   8.333304e+00   4.667604e-01   8.310059e+00   2.764812e-02   8.964657e+00
2.400   1.394706e-02   1.755831e-02   1.575268e-02   7.184738e+00  -2.602322e-03   7.182136e+00   3.282148e-01   7.156065e+00   2.665174e-02   7.132015e+00
2.400   1.755831e-02   2.210460e-02   1.983145e-02   5.475065e+00  -1.353323e-01   5.339733e+00   2.211144e-01   5.311896e+00   2.570762e-02   5.421520e+00
2.400   2.210460e-02   2.782804e-02   2.496632e-02   3.964921e+00  -3.852715e-02   3.926394e+00   1.418019e-01   3.898777e+00   2.479975e-02   3.912504e+00
2.400   2.782804e-02   3.503343e-02   3.143074e-02   2.711694e+00  -1.500668e-02   2.696687e+00   8.604059e-02   2.672206e+00   2.385223e-02   2.663360e+00
2.400   3.503343e-02   4.410448e-02   3.956895e-02   1.742130e+00  -2.362846e-02   1.718501e+00   4.916303e-02   1.700168e+00   2.279434e-02   1.701002e+00
2.400   4.410448e-02   5.552425e-02   4.981436e-02   1.047424e+00   4.467063e-02   1.092095e+00   2.639801e-02   1.081692e+00   2.152122e-02   1.015500e+00
2.400   5.552425e-02   6.990088e-02   6.271257e-02   5.881986e-01  -1.571851e-03   5.866267e-01   1.333775e-02   5.840873e-01   1.985871e-02   5.658004e-01
2.400   6.990088e-02   8.800000e-02   7.895044e-02   3.083919e-01  -3.429418e-03   3.049624e-01   6.375661e-03   3.083936e-01   1.758218e-02   2.942408e-01
2.400   8.800000e-02   1.107854e-01   9.939272e-02   1.510553e-01  -1.559367e-03   1.494960e-01   2.910531e-03   1.560380e-01   1.457581e-02   1.430216e-01
2.400   1.107854e-01   1.394706e-01   1.251280e-01   6.923973e-02   6.947175e-04   6.993444e-02   1.284376e-03   7.675659e-02   1.092340e-02   6.513846e-02
2.400   1.394706e-01   1.755831e-01   1.575268e-01   2.980465e-02   6.774059e-04   3.048205e-02   5.546118e-04   3.576610e-02   7.189921e-03   2.789877e-02
2.400   1.755831e-01   2.210460e-01   1.983145e-01   1.212274e-02  -1.592485e-04   1.196349e-02   2.379452e-04   1.539584e-02   4.230441e-03   1.132464e-02
2.400   2.210460e-01   2.782804e-01   2.496632e-01   4.700794e-03  -5.216153e-05   4.648632e-03   1.048629e-04   6.822244e-03   2.455571e-03   4.418835e-03
2.400   2.782804e-01   3.503343e-01   3.143074e-01   1.755356e-03   9.677184e-05   1.852128e-03   5.068418e-05   3.384115e-03   1.599026e-03   1.688318e-03
2.400   3.503343e-01   4.410448e-01   3.956895e-01   6.360597e-04   9.805030e-05   7.341100e-04   2.979074e-05   2.011701e-03   1.266737e-03   6.469146e-04
2.600   0.000000e+00   2.200000e-03   1.100000e-03   1.921239e+01  -1.692395e-01   1.904315e+01   1.256538e+00   1.793072e+01   4.560138e-02   1.805435e+01
2.600   2.200000e-03   4.400000e-03   3.300000e-03   2.240866e+01   1.718832e+00   2.412749e+01   1.323553e+00   2.415198e+01   4.744752e-02   2.238570e+01
2.600   4.400000e-03   6.600000e-03   5.500000e-03   1.957045e+01   3.030443e+00   2.260089e+01   1.164823e+00   2.250424e+01   4.817169e-02   1.942562e+01
2.600   6.600000e-03   8.800000e-03   7.700000e-03   1.655198e+01  -8.302605e-01   1.572172e+01   9.883554e-01   1.565008e+01   4.822878e-02   1.643211e+01
