# This version is build by the following options:
# Fisher optimization: ON
# Redshift binning shape: Triangular
# Redshift growth scaling: OFF
# Using following configuration parameters:
# Fiducial Signal Baseline: ON
# Input is delta flux: YES
# Divide by mean flux of the chunk: OFF
# ContinuumMargOrder: 1
# Fiducial Power Spectrum
# Pfid(k, z) = (A*pi/k0) * q^(2+n+alpha*ln(q)+beta*ln(x)) * x^B / (1 + lambda * k^2)
# k0=0.009 s km^-1, z0=3.0 and q=k/k0, x=(1+z)/(1+z0)
# Parameters set by config file:
# A      =    6.621420e-02
# n      =   -2.685349e+00
# alpha  =   -2.232763e-01
# B      =    3.591244e+00
# beta   =   -1.768045e-01
# lambda =    3.598261e+02
# -----------------------------------------------------------------
# File Template
# Nz Nk
# n[0] n[1] ... n[Nz] n[Nz+1]
# z | k1 | k2 | kc | Pfid | ThetaP | Pest | ErrorP | d | b | t
# Nz     : Number of redshift bins
# Nk     : Number of k bins
# n[i]   : Spectral chunk count in redshift bin i. Left-most and right-most are out of range
# z      : Redshift bin center
# k1     : Lower edge of the k bin [s km^-1]
# k2     : Upper edge of the k bin [s km^-1]
# kc     : Center of the k bin [s km^-1]
# Pfid   : Fiducial power at kc [km s^-1]
# ThetaP : Deviation from Pfid found by quadratic estimator = d - b - t [km s^-1]
# Pest   : Pfid + ThetaP [km s^-1]
# ErrorP : Error estimated from diagonal terms of the inverse Fisher matrix [km s^-1]
# d      : Power estimate before noise (b) and fiducial power (t) subtracted [km s^-1]
# b      : Noise estimate [km s^-1]
# t      : Fiducial power estimate [km s^-1]
# -----------------------------------------------------------------
# 14 42
# 106 258253 206234 106186 72391 41529 22157 11277 7196 8325 4459 59 0 0 0 0
z k1 k2 kc Pfid ThetaP Pest ErrorP d b t
2.400 1.58489e-02 1.77828e-02 1.68159e-02 6.68379e+00 -1.00956e-01 6.58283e+00 1.96843e-02 -3.13742e-07 3.52670e-05 -3.43465e-05
2.400 1.77828e-02 1.99526e-02 1.88677e-02 5.83049e+00 -1.08208e-01 5.72228e+00 1.82659e-02 -3.15700e-07 1.87418e-05 -7.62099e-06
2.400 1.99526e-02 2.23872e-02 2.11699e-02 5.02348e+00 -1.37080e-01 4.88639e+00 1.74052e-02 -3.17671e-07 -1.02925e-05 2.68505e-05
2.400 2.23872e-02 2.51189e-02 2.37530e-02 4.27143e+00 -1.42010e-01 4.12942e+00 1.72943e-02 -3.19657e-07 -1.35714e-05 2.62612e-05
2.400 2.51189e-02 2.81838e-02 2.66514e-02 3.58154e+00 -1.23247e-01 3.45829e+00 1.83354e-02 -3.21656e-07 -1.49492e-06 -6.04254e-06
2.400 2.81838e-02 3.16228e-02 2.99033e-02 2.95917e+00 -1.30408e-01 2.82876e+00 2.14487e-02 -3.23669e-07 -1.73581e-06 -2.80651e-05
2.400 3.16228e-02 3.54813e-02 3.35521e-02 2.40758e+00 -1.24201e-01 2.28338e+00 2.90211e-02 -3.25697e-07 -8.57220e-06 -1.42191e-05
2.400 3.54813e-02 3.98107e-02 3.76460e-02 1.92776e+00 -2.07598e-01 1.72016e+00 4.83954e-02 -3.27738e-07 2.97471e-06 1.48044e-05
2.600 0.00000e+00 5.00000e-04 2.50000e-04 6.91190e+00 -2.48019e-02 6.88710e+00 6.72231e-02 -3.51164e-07 5.70740e-05 -7.89374e-08
2.600 5.00000e-04 1.00000e-03 7.50000e-04 1.59372e+01 1.13339e-02 1.59486e+01 7.67181e-02 -3.53384e-07 8.87540e-05 -1.83215e-06
2.600 1.00000e-03 1.50000e-03 1.25000e-03 2.01510e+01 1.63365e-01 2.03144e+01 9.29434e-02 -3.55619e-07 6.27047e-06 1.97341e-06
2.600 1.50000e-03 2.00000e-03 1.75000e-03 2.20232e+01 2.09096e-02 2.20441e+01 1.00329e-01 -3.57870e-07 -9.09393e-05 7.51131e-06
2.600 2.00000e-03 2.50000e-03 2.25000e-03 2.27108e+01 -1.26854e-01 2.25840e+01 1.03148e-01 -3.60137e-07 -7.61907e-05 3.49826e-06
2.600 2.50000e-03 3.00000e-03 2.75000e-03 2.27602e+01 -1.49942e-02 2.27452e+01 1.03554e-01 -3.62420e-07 3.79338e-05 -9.07494e-06
2.600 3.00000e-03 3.50000e-03 3.25000e-03 2.24524e+01 1.11893e-01 2.25643e+01 1.02631e-01 -3.64718e-07 1.08138e-04 -1.31459e-05
2.600 3.50000e-03 4.00000e-03 3.75000e-03 2.19423e+01 -1.09666e-01 2.18326e+01 1.00962e-01 -3.67032e-07 4.22102e-05 1.17208e-06
2.600 4.00000e-03 4.50000e-03 4.25000e-03 2.13193e+01 -1.82097e-03 2.13174e+01 9.88786e-02 -3.69363e-07 -7.89222e-05 1.80785e-05
2.600 4.50000e-03 5.00000e-03 4.75000e-03 2.06369e+01 -5.09697e-02 2.05859e+01 9.65755e-02 -3.71710e-07 -1.01548e-04 1.34146e-05
2.600 5.00000e-03 5.50000e-03 5.25000e-03 1.99280e+01 -3.24439e-02 1.98956e+01 9.41735e-02 -3.74073e-07 3.82219e-06 -1.10214e-05
